root,seed,strategy,solved,steps,progress,max_objects,ast_depth,stop_reason
sqrt(2),0,BASELINE_RANDOM,False,13,7,13,9,MAX_ITERATIONS
sqrt(2),0,TREATMENT_TARGETED,False,13,7,13,9,MAX_ITERATIONS
sqrt(2),1,BASELINE_RANDOM,False,13,7,13,9,MAX_ITERATIONS
sqrt(2),1,TREATMENT_TARGETED,False,13,7,13,9,MAX_ITERATIONS
sqrt(2),2,BASELINE_RANDOM,False,13,7,13,9,MAX_ITERATIONS
sqrt(2),2,TREATMENT_TARGETED,False,13,7,13,9,MAX_ITERATIONS
sqrt(2),42,BASELINE_RANDOM,False,13,7,13,9,MAX_ITERATIONS
sqrt(2),42,TREATMENT_TARGETED,False,13,7,13,9,MAX_ITERATIONS
sqrt(2),99,BASELINE_RANDOM,False,13,7,13,9,MAX_ITERATIONS
sqrt(2),99,TREATMENT_TARGETED,False,13,7,13,9,MAX_ITERATIONS
sqrt(3),0,BASELINE_RANDOM,False,13,7,13,9,MAX_ITERATIONS
sqrt(3),0,TREATMENT_TARGETED,False,13,7,13,9,MAX_ITERATIONS
sqrt(3),1,BASELINE_RANDOM,False,13,7,13,9,MAX_ITERATIONS
sqrt(3),1,TREATMENT_TARGETED,False,13,7,13,9,MAX_ITERATIONS
sqrt(3),2,BASELINE_RANDOM,False,13,7,13,9,MAX_ITERATIONS
sqrt(3),2,TREATMENT_TARGETED,False,13,7,13,9,MAX_ITERATIONS
sqrt(3),42,BASELINE_RANDOM,False,13,7,13,9,MAX_ITERATIONS
sqrt(3),42,TREATMENT_TARGETED,False,13,7,13,9,MAX_ITERATIONS
sqrt(3),99,BASELINE_RANDOM,False,13,7,13,9,MAX_ITERATIONS
sqrt(3),99,TREATMENT_TARGETED,False,13,7,13,9,MAX_ITERATIONS
sqrt(5),0,BASELINE_RANDOM,False,13,7,13,9,MAX_ITERATIONS
sqrt(5),0,TREATMENT_TARGETED,False,13,7,13,9,MAX_ITERATIONS
sqrt(5),1,BASELINE_RANDOM,False,13,7,13,9,MAX_ITERATIONS
sqrt(5),1,TREATMENT_TARGETED,False,13,7,13,9,MAX_ITERATIONS
sqrt(5),2,BASELINE_RANDOM,False,13,7,13,9,MAX_ITERATIONS
sqrt(5),2,TREATMENT_TARGETED,False,13,7,13,9,MAX_ITERATIONS
sqrt(5),42,BASELINE_RANDOM,False,13,7,13,9,MAX_ITERATIONS
sqrt(5),42,TREATMENT_TARGETED,False,13,7,13,9,MAX_ITERATIONS
sqrt(5),99,BASELINE_RANDOM,False,13,7,13,9,MAX_ITERATIONS
sqrt(5),99,TREATMENT_TARGETED,False,13,7,13,9,MAX_ITERATIONS
